The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 0.7705957889556885; N: 0.29282283782958984BA3 6 / 84; |X|: 1, |Z|: 50; it: 26 DC
T: 0.717416524887085; N: 0.47643589973449707BA3 6 / 84; |X|: 1, |Z|: 50; it: 27 DC
T: 0.22644257545471191; N: 0.25916194915771484BA3 6 / 84; |X|: 1, |Z|: 50; it: 28 DC
T: 0.3722217082977295; N: 0.551743745803833BA3 6 / 84; |X|: 1, |Z|: 50; it: 29 DC
T: 0.5844690799713135; N: 0.5100419521331787BA3 6 / 84; |X|: 1, |Z|: 50; it: 30 DC
T: 0.33922314643859863; N: 0.14070963859558105BA3 7 / 84; |X|: 1, |Z|: 100; it: 1 DC
T: 0.41701722145080566; N: 0.4343879222869873BA3 7 / 84; |X|: 1, |Z|: 100; it: 2 DC
T: 0.1887953281402588; N: 0.3520965576171875BA3 7 / 84; |X|: 1, |Z|: 100; it: 3 DC
T: 0.5266392230987549; N: 0.3231053352355957BA3 7 / 84; |X|: 1, |Z|: 100; it: 4 DC
T: 0.3845956325531006; N: 0.41063666343688965BA3 7 / 84; |X|: 1, |Z|: 100; it: 5 DC
T: 0.4342036247253418; N: 0.14553332328796387BA3 7 / 84; |X|: 1, |Z|: 100; it: 6 DC
T: 0.8141956329345703; N: 0.19332408905029297BA3 7 / 84; |X|: 1, |Z|: 100; it: 7 DC
T: 0.3095529079437256; N: 0.11349248886108398BA3 7 / 84; |X|: 1, |Z|: 100; it: 8 DC
T: 0.8273911476135254; N: 0.22922873497009277BA3 7 / 84; |X|: 1, |Z|: 100; it: 9 DC
T: 0.1587226390838623; N: 0.28676915168762207BA3 7 / 84; |X|: 1, |Z|: 100; it: 10 DC
T: 0.6210184097290039; N: 0.33205103874206543BA3 7 / 84; |X|: 1, |Z|: 100; it: 11 DC
T: 1.0132505893707275; N: 0.3385488986968994BA3 7 / 84; |X|: 1, |Z|: 100; it: 12 DC
T: 0.6092026233673096; N: 0.1692976951599121BA3 7 / 84; |X|: 1, |Z|: 100; it: 13 DC
T: 0.20238280296325684; N: 0.14716792106628418BA3 7 / 84; |X|: 1, |Z|: 100; it: 14 DC
T: 0.22104215621948242; N: 0.16722464561462402BA3 7 / 84; |X|: 1, |Z|: 100; it: 15 DC
T: 0.27956604957580566; N: 0.696631908416748BA3 7 / 84; |X|: 1, |Z|: 100; it: 16 DC
T: 0.5319507122039795; N: 0.27303266525268555BA3 7 / 84; |X|: 1, |Z|: 100; it: 17 DC
T: 0.355790376663208; N: 0.49288105964660645BA3 7 / 84; |X|: 1, |Z|: 100; it: 18 DC
T: 0.2320692539215088; N: 0.5417342185974121BA3 7 / 84; |X|: 1, |Z|: 100; it: 19 DC
T: 0.990924596786499; N: 0.34768104553222656BA3 7 / 84; |X|: 1, |Z|: 100; it: 20 DC
T: 0.27735376358032227; N: 0.6282224655151367BA3 7 / 84; |X|: 1, |Z|: 100; it: 21 DC
T: 0.4962890148162842; N: 0.18531441688537598BA3 7 / 84; |X|: 1, |Z|: 100; it: 22 DC
T: 0.2511615753173828; N: 0.2554593086242676BA3 7 / 84; |X|: 1, |Z|: 100; it: 23 DC
T: 0.3425743579864502; N: 0.2307264804840088BA3 7 / 84; |X|: 1, |Z|: 100; it: 24 DC
T: 0.17447614669799805; N: 0.44852662086486816BA3 7 / 84; |X|: 1, |Z|: 100; it: 25 DC
T: 0.3885684013366699; N: 0.24339079856872559BA3 7 / 84; |X|: 1, |Z|: 100; it: 26 DC
